Link,Origin,Airport
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNNU1AQACAAcg0SCQoHCgNNU1AQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJlYxs5_t9UEARWuZuvCS0YMASEgnPYrz6ToBIwBHgMnfjJfE3wA,Minneapolis/St. Paul,MSP
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNKRksQACAAcg0SCQoHCgNKRksQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJh0qTn9p-UEARiNDuGqOrYMASEgmCnQwRgX1IwBFAhHbXGK03wA,New York City,JFK
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNFV1IQACAAcg0SCQoHCgNFV1IQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJQOGdqeedUEAR9NiGBCSuYMASEglTAVVXmRdIwBGgxzYkIME3wA,Newark,EWR
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=chIKDgoMCggvbS8wcGx5MBAEIAByEhIOCgwKCC9tLzBwbHkwEAQgABgBKgIQApABADABOgIIAQ&mvb=ChIJI4SnoZV_UEAROIK8af2mYMASEglDkdS5JXtIwBHAEeRN64c3wA,Orlando,MCO
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=chIKDgoMCggvbS8wZGNsZxAEIAByEhIOCgwKCC9tLzBkY2xnEAQgABgBKgIQApABADABOgIIAQ&mvb=ChIJei72wGGnUEARYGfta2-wYMASEgmBTIf9xvdHwBEAO2tfe9M3wA,Philadelphia,PHL
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=chIKDgoMCggvbS8wZDM1eRAEIAByEhIOCgwKCC9tLzBkMzV5EAQgABgBKgIQApABADABOgIIAQ&mvb=ChIJystyzW-hUEARLLN499DEYMASEglkkMGsxwtIwBFgmcW7h3Y4wA,Phoenix,PHX
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNQRFgQACAAcg0SCQoHCgNQRFgQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJ-UUtaxWLUEARjB4hQgzAYMASEgkR3C3pylVIwBFg9AgRYlA4wA,Portland (OR),PDX
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNTTEMQACAAcg0SCQoHCgNTTEMQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJHL5QpaurUEARNIJKX-i3YMASEgkz48h1Q-lHwBGgEVT6Qg84wA,Salt Lake City,SLC
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNTQU4QACAAcg0SCQoHCgNTQU4QACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJxzTW4b9nUEARNFP0gEaiYMASEgkTylmvEMdIwBGgmaIHNGI3wA,San Diego,SAN
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNTRk8QACAAcg0SCQoHCgNTRk8QACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJmijwM-CdUEAR9JBb6rGmYMASEgkDKRNBshdIwBGgh9xSj4U3wA,San Francisco,SFO
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNTRUEQACAAcg0SCQoHCgNTRUEQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJ3lDteASIUEAR5IjyFyWrYMASEgm3sC7czF9IwBEgR5S_KKk3wA,Seattle,SEA
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNTVEwQACAAcg0SCQoHCgNTVEwQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJE1SyyrCjUEARUE9nZO-nYMASEgmz3ZhxNgRIwBGAejoje483wA,St. Louis,STL
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=cg0KCQoHCgNUUEEQACAAcg0SCQoHCgNUUEEQACAAGAEqAhACkAEAMAE6AggB&mvb=ChIJRcmy7MGbUEARPHlfl4PIYMASEgnxeswXwx5IwBHgyfu6HJQ4wA,Tampa,TPA
https://www.google.com/travel/explore?curr=USD&gl=us&hl=en&authuser=0&origin=https%3A%2F%2Fwww.google.com&tfc=chIKDgoMCggvbS8wcmg2axAEIAByEhIOCgwKCC9tLzByaDZrEAQgABgBKgIQApABADABOgIIAQ&mvb=ChIJ91P0ovmSUEAReMZ4FnOiYMASEgnaNP9q4DtIwBHAM8azmGM3wA,"Washington, D.C.",IAD
