DatePosted,Origin,OriginAirport,Destination,DestinationAirport,RegularPrice,SalePrice,DiscountRate,FlightDate,BookingLink
2019-08-28-03-40,Baltimore,BWI,Geneva,GVA,1122,585,52.14,"Mon, 9 Dec - Tue, 17 Dec",https://www.google.com/flights#flt=BWI./m/03902.2019-12-09*/m/03902.BWI.2019-12-17;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-41,Baltimore,BWI,Moscow,SVO,840,579,68.93,"Thu, 31 Oct - Wed, 6 Nov",https://www.google.com/flights#flt=BWI./m/04swd.2019-10-31*/m/04swd.BWI.2019-11-06;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-41,Chicago,ORD,Reykjavík,KEF,599,323,53.92,"Mon, 9 Dec - Tue, 17 Dec",https://www.google.com/flights#flt=ORD./m/06flg.2019-12-09*/m/06flg.ORD.2019-12-17;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-41,Chicago,ORD,Barcelona,BCN,680,299,43.97,"Mon, 14 Oct - Tue, 22 Oct",https://www.google.com/flights#flt=ORD./m/01f62.2019-10-14*/m/01f62.ORD.2019-10-22;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-41,Chicago,ORD,Athens,ATH,702,442,62.96,"Mon, 11 Nov - Tue, 19 Nov",https://www.google.com/flights#flt=ORD./m/0n2z.2019-11-11*/m/0n2z.ORD.2019-11-19;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-42,Chicago,ORD,Stockholm,ARN,680,398,58.53,"Thu, 5 Dec - Fri, 13 Dec",https://www.google.com/flights#flt=ORD./m/06mxs.2019-12-05*/m/06mxs.ORD.2019-12-13;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-42,Chicago,ORD,Edinburgh,EDI,631,432,68.46,"Sat, 9 Nov - Fri, 15 Nov",https://www.google.com/flights#flt=ORD./m/02m77.2019-11-09*/m/02m77.ORD.2019-11-15;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-42,Chicago,ORD,Kraków,KRK,786,434,55.22,"Sat, 30 Nov - Fri, 6 Dec",https://www.google.com/flights#flt=ORD./m/0491y.2019-11-30*/m/0491y.ORD.2019-12-06;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-42,Chicago,ORD,Warsaw,WAW,664,448,67.47,"Sat, 16 Nov - Mon, 25 Nov",https://www.google.com/flights#flt=ORD./m/081m_.2019-11-16*/m/081m_.ORD.2019-11-25;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-42,Chicago,ORD,Nice,NCE,703,425,60.46,"Sat, 9 Nov - Sun, 17 Nov",https://www.google.com/flights#flt=ORD./m/0cp6w.2019-11-09*/m/0cp6w.ORD.2019-11-17;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-43,Chicago,ORD,Kuala Lumpur,KUL,882,585,66.33,"Sat, 25 Jan - Mon, 3 Feb",https://www.google.com/flights#flt=ORD./m/049d1.2020-01-25*/m/049d1.ORD.2020-02-03;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-43,Chicago,ORD,Seville,SVQ,1043,460,44.10,"Sun, 8 Dec - Tue, 17 Dec",https://www.google.com/flights#flt=ORD./m/09f3c.2019-12-08*/m/09f3c.ORD.2019-12-17;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-43,Chicago,ORD,Manchester,MAN,546,369,67.58,"Sat, 18 Jan - Mon, 27 Jan",https://www.google.com/flights#flt=ORD./m/052bw.2020-01-18*/m/052bw.ORD.2020-01-27;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-43,Cleveland,CLE,Paris,CDG,1154,610,52.86,"Thu, 5 Dec - Thu, 12 Dec",https://www.google.com/flights#flt=CLE./m/05qtj.2019-12-05*/m/05qtj.CLE.2019-12-12;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-44,Cleveland,CLE,Barcelona,BCN,1174,633,53.92,"Mon, 2 Dec - Tue, 10 Dec",https://www.google.com/flights#flt=CLE./m/01f62.2019-12-02*/m/01f62.CLE.2019-12-10;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-44,Cleveland,CLE,Venice,VCE,909,627,68.98,"Thu, 24 Oct - Fri, 1 Nov",https://www.google.com/flights#flt=CLE./m/07_pf.2019-10-24*/m/07_pf.CLE.2019-11-01;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-44,Cleveland,CLE,Florence,FLR,1212,646,53.30,"Mon, 28 Oct - Tue, 5 Nov",https://www.google.com/flights#flt=CLE./m/031y2.2019-10-28*/m/031y2.CLE.2019-11-05;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-44,Cleveland,CLE,Prague,PRG,985,636,64.57,"Sun, 22 Sep - Mon, 30 Sep",https://www.google.com/flights#flt=CLE./m/05ywg.2019-09-22*/m/05ywg.CLE.2019-09-30;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-44,Cleveland,CLE,Oslo,OSL,1156,640,55.36,"Fri, 6 Dec - Thu, 12 Dec",https://www.google.com/flights#flt=CLE./m/05l64.2019-12-06*/m/05l64.CLE.2019-12-12;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-45,Cleveland,CLE,Naples,NAP,980,641,65.41,"Thu, 28 Nov - Sat, 7 Dec",https://www.google.com/flights#flt=CLE./m/0fhsz.2019-11-28*/m/0fhsz.CLE.2019-12-07;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-45,Cleveland,CLE,Nice,NCE,1054,630,59.77,"Fri, 25 Oct - Fri, 1 Nov",https://www.google.com/flights#flt=CLE./m/0cp6w.2019-10-25*/m/0cp6w.CLE.2019-11-01;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-45,Cleveland,CLE,Glasgow,GLA,869,570,65.59,"Thu, 28 Nov - Sat, 7 Dec",https://www.google.com/flights#flt=CLE./m/0hyxv.2019-11-28*/m/0hyxv.CLE.2019-12-07;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-03-45,Cleveland,CLE,Manchester,MAN,894,545,60.96,"Mon, 11 Nov - Mon, 18 Nov",https://www.google.com/flights#flt=CLE./m/052bw.2019-11-11*/m/052bw.CLE.2019-11-18;c:USD;e:1;p:65000.2.USD;sd:1;t:f
