DatePosted,Origin,OriginAirport,Destination,DestinationAirport,RegularPrice,SalePrice,DiscountRate,FlightDate,BookingLink
2019-08-28-11-36,Boston,BOS,Paris,CDG,609,348,57.14,"Sat, 7 Dec - Mon, 16 Dec",https://www.google.com/flights#flt=BOS./m/05qtj.2019-12-07*/m/05qtj.BOS.2019-12-16;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-36,Boston,BOS,Madrid,MAD,498,233,46.79,"Mon, 14 Oct - Tue, 22 Oct",https://www.google.com/flights#flt=BOS./m/056_y.2019-10-14*/m/056_y.BOS.2019-10-22;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-36,Boston,BOS,Nice,NCE,939,432,46.01,"Fri, 6 Dec - Thu, 12 Dec",https://www.google.com/flights#flt=BOS./m/0cp6w.2019-12-06*/m/0cp6w.BOS.2019-12-12;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-36,Boston,BOS,Santorini,JTR,1386,628,45.31,"Sat, 26 Oct - Sat, 2 Nov",https://www.google.com/flights#flt=BOS./m/070t9.2019-10-26*/m/070t9.BOS.2019-11-02;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-37,Boston,BOS,Vienna,VIE,656,381,58.08,"Mon, 14 Oct - Tue, 22 Oct",https://www.google.com/flights#flt=BOS./m/0fhp9.2019-10-14*/m/0fhp9.BOS.2019-10-22;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-37,Boston,BOS,Budapest,BUD,662,385,58.16,"Mon, 21 Oct - Wed, 30 Oct",https://www.google.com/flights#flt=BOS./m/095w_.2019-10-21*/m/095w_.BOS.2019-10-30;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-37,Boston,BOS,Naples,NAP,641,434,67.71,"Thu, 9 Jan - Fri, 17 Jan",https://www.google.com/flights#flt=BOS./m/0fhsz.2020-01-09*/m/0fhsz.BOS.2020-01-17;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-37,Boston,BOS,İstanbul,SAW,890,605,67.98,"Sat, 5 Oct - Mon, 14 Oct",https://www.google.com/flights#flt=BOS./m/09949m.2019-10-05*/m/09949m.BOS.2019-10-14;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-38,Boston,BOS,Warsaw,WAW,731,421,57.59,"Thu, 24 Oct - Fri, 1 Nov",https://www.google.com/flights#flt=BOS./m/081m_.2019-10-24*/m/081m_.BOS.2019-11-01;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-38,Boston,BOS,Manchester,MAN,549,378,68.85,"Thu, 7 Nov - Fri, 15 Nov",https://www.google.com/flights#flt=BOS./m/052bw.2019-11-07*/m/052bw.BOS.2019-11-15;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-38,Boston,BOS,Casablanca,CMN,909,628,69.09,"Mon, 30 Dec - Wed, 8 Jan",https://www.google.com/flights#flt=BOS./m/022b_.2019-12-30*/m/022b_.BOS.2020-01-08;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-38,Boston,BOS,Lyon,LYS,944,432,45.76,"Fri, 6 Dec - Thu, 12 Dec",https://www.google.com/flights#flt=BOS./m/0dprg.2019-12-06*/m/0dprg.BOS.2019-12-12;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-39,Chicago,MDW,Barcelona,BCN,1278,318,24.88,"Sun, 13 Oct - Tue, 22 Oct",https://www.google.com/flights#flt=MDW./m/01f62.2019-10-13*/m/01f62.MDW.2019-10-22;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-39,Chicago,MDW,London,LHR,570,388,68.07,"Mon, 30 Sep - Wed, 9 Oct",https://www.google.com/flights#flt=MDW./m/04jpl.2019-09-30*/m/04jpl.MDW.2019-10-09;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-39,Chicago,MDW,Madrid,MAD,876,492,56.16,"Sun, 10 Nov - Tue, 19 Nov",https://www.google.com/flights#flt=MDW./m/056_y.2019-11-10*/m/056_y.MDW.2019-11-19;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-11-39,Chicago,MDW,Dublin,DUB,714,443,62.04,"Mon, 7 Oct - Wed, 16 Oct",https://www.google.com/flights#flt=MDW./m/02cft.2019-10-07*/m/02cft.MDW.2019-10-16;c:USD;e:1;p:65000.2.USD;sd:1;t:f
