DatePosted,Origin,OriginAirport,Destination,DestinationAirport,RegularPrice,SalePrice,DiscountRate,FlightDate,BookingLink
2019-08-28-13-16,Baltimore,BWI,Lisbon,LIS,1091,555,50.87,"Fri, 18 Oct - Thu, 24 Oct",https://www.google.com/flights#flt=BWI./m/04llb.2019-10-18*/m/04llb.BWI.2019-10-24;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-17,Baltimore,BWI,Moscow,SVO,1100,579,52.64,"Mon, 30 Dec - Wed, 8 Jan",https://www.google.com/flights#flt=BWI./m/04swd.2019-12-30*/m/04swd.BWI.2020-01-08;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-17,Chicago,MDW,Barcelona,BCN,1278,318,24.88,"Sun, 13 Oct - Tue, 22 Oct",https://www.google.com/flights#flt=MDW./m/01f62.2019-10-13*/m/01f62.MDW.2019-10-22;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-17,Chicago,MDW,London,LHR,570,388,68.07,"Mon, 30 Sep - Wed, 9 Oct",https://www.google.com/flights#flt=MDW./m/04jpl.2019-09-30*/m/04jpl.MDW.2019-10-09;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-17,Chicago,MDW,Madrid,MAD,876,492,56.16,"Sun, 10 Nov - Tue, 19 Nov",https://www.google.com/flights#flt=MDW./m/056_y.2019-11-10*/m/056_y.MDW.2019-11-19;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-18,Chicago,MDW,Dublin,DUB,714,443,62.04,"Mon, 7 Oct - Wed, 16 Oct",https://www.google.com/flights#flt=MDW./m/02cft.2019-10-07*/m/02cft.MDW.2019-10-16;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-18,Chicago,MDW,Inverness,INV,1038,498,47.98,"Mon, 16 Dec - Mon, 23 Dec",https://www.google.com/flights#flt=MDW./m/012d9h.2019-12-16*/m/012d9h.MDW.2019-12-23;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-18,Chicago,MDW,Venice,VCE,948,634,66.88,"Mon, 21 Oct - Wed, 30 Oct",https://www.google.com/flights#flt=MDW./m/07_pf.2019-10-21*/m/07_pf.MDW.2019-10-30;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-18,Chicago,MDW,Manchester,MAN,976,545,55.84,"Mon, 30 Dec - Wed, 8 Jan",https://www.google.com/flights#flt=MDW./m/052bw.2019-12-30*/m/052bw.MDW.2020-01-08;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-19,Chicago,MDW,Prague,PRG,1225,534,43.59,"Sun, 29 Sep - Tue, 8 Oct",https://www.google.com/flights#flt=MDW./m/05ywg.2019-09-29*/m/05ywg.MDW.2019-10-08;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-19,Chicago,MDW,Ibiza,IBZ,1130,607,53.72,"Sun, 15 Dec - Tue, 24 Dec",https://www.google.com/flights#flt=MDW./m/021n7_.2019-12-15*/m/021n7_.MDW.2019-12-24;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-19,Chicago,MDW,Málaga,AGP,761,481,63.21,"Sun, 24 Nov - Tue, 3 Dec",https://www.google.com/flights#flt=MDW./m/01978d.2019-11-24*/m/01978d.MDW.2019-12-03;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-19,Dallas,DFW,Madrid,MAD,1198,522,43.57,"Fri, 6 Dec - Sat, 14 Dec",https://www.google.com/flights#flt=DFW./m/056_y.2019-12-06*/m/056_y.DFW.2019-12-14;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-20,Dallas,DFW,Barcelona,BCN,1069,473,44.25,"Sat, 28 Sep - Mon, 7 Oct",https://www.google.com/flights#flt=DFW./m/01f62.2019-09-28*/m/01f62.DFW.2019-10-07;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-20,Dallas,DFW,Nice,NCE,1186,483,40.73,"Fri, 27 Sep - Fri, 4 Oct",https://www.google.com/flights#flt=DFW./m/0cp6w.2019-09-27*/m/0cp6w.DFW.2019-10-04;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-20,Dallas,DFW,Helsinki,HEL,878,447,50.91,"Sat, 28 Sep - Sat, 5 Oct",https://www.google.com/flights#flt=DFW./m/03khn.2019-09-28*/m/03khn.DFW.2019-10-05;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-21,Dallas,DFW,Málaga,AGP,1090,539,49.45,"Fri, 25 Oct - Fri, 1 Nov",https://www.google.com/flights#flt=DFW./m/01978d.2019-10-25*/m/01978d.DFW.2019-11-01;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-21,Dallas,DFW,Warsaw,WAW,1231,559,45.41,"Sun, 20 Oct - Mon, 28 Oct",https://www.google.com/flights#flt=DFW./m/081m_.2019-10-20*/m/081m_.DFW.2019-10-28;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-28-13-21,Dallas,DFW,Palma,PMI,1467,577,39.33,"Sat, 23 Nov - Mon, 2 Dec",https://www.google.com/flights#flt=DFW./m/0jwz5.2019-11-23*/m/0jwz5.DFW.2019-12-02;c:USD;e:1;p:65000.2.USD;sd:1;t:f
